"abort",终止
"aborted",已终止
"aborting",正在终止
"about",关于
"above",之上
"abr",
"absolute",绝对
"accidental",升降号
"accidentals",升降号
"acid",
"across",
"act",
"action",操作
"actions",操作
"activate",激活
"activating",
"active",活动
"actively-writing",
"activity",
"add",添加
"add-fx",添加FX
"added",已添加
"adding",
"addition",
"additional",额外的
"adjacent",
"adjust",调整
"adjusting",正在调整
"adjustment",
"adjustments",
"adjusts",调整
"adpcm",
"advance",
"advanced",
"affect",影响
"affected",已影响
"affects",影响
"after",之后
"aftertouch",
"again",又
"aggressive",
"ahead",
"album",专辑
"alias",
"align",
"aligned",
"all",所有
"all-tracks",
"allow",允许
"allows",允许
"alpha",
"already",已经
"also",
"alt",
"alternate",
"alto",
"always",总是
"amount",数量
"amplitude",振幅
"and",与
"another",另一个
"anticipative",
"any",任意
"anyway",仍要
"api",
"appear",
"appearance",外观
"append",
"application",应用
"applications",应用
"applied",
"apply",应用
"approximate",
"area",区域
"areas",区域
"arm",准备
"armed",已准备
"around",
"arpeggiate",
"arrange",
"articulation",
"artist",
"as",为
"asio",
"aspect",
"assign",
"associated",关联的
"asynchronous",
"attach",
"attached",
"attack",
"attribute",
"audio",音频
"aui",
"auto",自动
"auto-advance",
"auto-clear",
"auto-crossfade",
"auto-crossfades",
"auto-detect",
"auto-float",
"auto-open",
"auto-punch",
"auto-render",
"auto-reposition",
"auto-stop",
"auto-view-scroll",
"automatic",自动
"automatically",
"automation",自动化
"automuted",
"autoplay",自动播放
"available",
"avfoundation",
"avoid",避免
"aware",
"axis",
"back",
"background",背景
"backgrounds",背景
"backup",备份
"backward",
"bad",
"balance",
"bank",
"bar",小节
"bars",小节
"base",
"baseline",
"bass",
"batch",
"bay",存储箱
"beam",
"beat",节拍
"beats",节拍
"because",
"become",
"been",
"before",之前
"begin",
"behave",
"behind",
"below",之下
"bend",
"best",
"better",
"between",
"bext",
"bezier",
"big clock",
"binding",
"bindings",
"bit fp floor",
"bit fp",
"bit pcm",
"bit",位
"bitrate",
"black",
"blank",
"blend",
"block",
"blocks",
"blocksize",数据块大小
"blues",
"boost",
"both",两者都
"bottom",底部
"bounce",
"bounds",
"bow",
"box",
"bpm",BPM
"bracket",
"bridged",
"bridging",
"browse",浏览
"browser",浏览器
"browsing",正在浏览
"buffer",缓冲
"buffering",缓冲
"buffers",
"buggy",
"build",构建
"burn",
"burning",
"bus",
"buses",
"button",按钮
"buttons",按钮
"bwf description",
"bwf",
"bypass",旁通
"bypassed",已旁通
"bytes",
"c&ut",
"cache",
"caches",
"cadpcm",
"calculate",
"calculating",
"can't",无法
"cancel",取消
"cannot",
"capture",
"cascade",
"categories",分类目录
"category",分类目录
"cause",
"causes",
"caution",
"cbr",
"cd burning",
"cd-text",
"cdrecord",
"cent",
"center",
"cents",
"certain",
"chain",链
"chains",链
"change",更改
"changed",
"changes",
"changing",
"channel pressure",
"channel",通道
"channels",通道
"character",
"chase",跟踪
"check",检查
"checked",选中
"checking",
"child",
"children",
"choose",选择
"chop",
"chord",
"chords",
"christian",
"chromatic",
"chunk",
"clarinet",
"cleanup",清理
"clear",清除
"cleared",
"clearing",
"clears",
"clef",
"click",
"clickable",
"clicked",
"clicking",
"clip",
"clock",
"close fx",关闭FX
"close",关闭
"closer",
"closes",
"closing",
"cockos",
"code",
"collect",
"color",颜色
"colored",
"coloredbar",彩色条
"colormap",
"colors",颜色
"colorspace",
"columns",列
"command",命令
"commands",命令
"comment",注释
"commit",
"common",
"comp",层组
"compact",
"compatibility",
"compatible",
"compensated",
"compensation",
"complete",
"compression",
"compressor",
"comps",
"computer",
"config",
"configuration import",
"configuration",配置
"configure",
"configured",
"confirm",确认
"confirmation",
"connect",
"connected",
"connector",
"consider",
"considered",
"console",控制台
"consolidate",
"consolidated",
"consolidating",
"constant",
"contain",
"contains",
"content",内容
"contents",内容
"context",
"contexts",
"continue",继续
"continuous view",
"continuous",
"control surface",
"control",控制
"controller",
"controlpanel",控制面板
"controls",
"conversion",
"convert",转换
"converted",
"converter",
"copies",
"copy",复制
"copying",
"coreaudio",Coreaudio
"correct",
"corrupted",
"could",
"count",
"cpu",CPU
"cpus",CPU
"crash",
"crashes",
"create",创建
"created fx",已创建FX
"created",
"creates",
"creating",
"critical",
"crop",
