3/19/18 12:53 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   17836	96538	                     590972	                       660905	   618	
Remaining:       	   17835	96536	                     590956	                       660888	   618	
Unique:          	   12260	63836	                     336719	                       386513	   575	
Unique Remaining:	   12259	63834	                     336703	                       386496	   575	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
[aaccess]-zh_Hans.po                  	             3	                 2	              3	                        2	         36	             34	          36	                    34	                              328	                                  312	                               328	                                         312	                                350	                                    333	                                 350	                                           333	
[about]-zh_Hans.po                    	            31	                31	             29	                       29	        276	            276	         242	                   242	                             1453	                                 1453	                              1141	                                        1141	                               1669	                                   1669	                                1336	                                          1336	
[accel_sec]-zh_Hans.po                	             8	                 8	              6	                        6	         49	             49	          15	                    15	                              392	                                  392	                                80	                                          80	                                422	                                    422	                                  89	                                            89	
[access]-zh_Hans.po                   	           135	               135	            133	                      133	        380	            380	         346	                   346	                             2301	                                 2301	                              1989	                                        1989	                               2527	                                   2527	                                2194	                                          2194	
[actiondialog]-zh_Hans.po             	            21	                21	             19	                       19	         70	             70	          36	                    36	                              509	                                  509	                               197	                                         197	                                545	                                    545	                                 212	                                           212	
[actionlist]-zh_Hans.po               	             4	                 4	              0	                        0	         36	             36	           0	                     0	                              317	                                  317	                                 0	                                           0	                                338	                                    338	                                   0	                                             0	
[actions]-zh_Hans.po                  	          1712	              1712	           1710	                     1710	      12262	          12262	       12228	                 12228	                            64494	                                64494	                             64182	                                       64182	                              74646	                                  74646	                               74313	                                         74313	
[actions_fmt]-zh_Hans.po              	            15	                15	             13	                       13	        129	            129	          95	                    95	                              715	                                  715	                               403	                                         403	                                813	                                    813	                                 480	                                           480	
[actions_sub]-zh_Hans.po              	             6	                 6	              4	                        4	         43	             43	           9	                     9	                              362	                                  362	                                50	                                          50	                                388	                                    388	                                  55	                                            55	
[aliasdlg]-zh_Hans.po                 	            13	                13	             11	                       11	         64	             64	          30	                    30	                              473	                                  473	                               161	                                         161	                                511	                                    511	                                 178	                                           178	
[au]-zh_Hans.po                       	            29	                29	             25	                       25	        107	            107	          71	                    71	                              703	                                  703	                               386	                                         386	                                782	                                    782	                                 444	                                           444	
[audiodev]-zh_Hans.po                 	            42	                42	             39	                       39	        331	            331	         295	                   295	                             1951	                                 1951	                              1625	                                        1625	                               2223	                                   2223	                                1875	                                          1875	
[automute]-zh_Hans.po                 	             6	                 6	              4	                        4	         44	             44	          10	                    10	                              374	                                  374	                                62	                                          62	                                401	                                    401	                                  68	                                            68	
[bigclock]-zh_Hans.po                 	             4	                 4	              2	                        2	         38	             38	           4	                     4	                              331	                                  331	                                19	                                          19	                                354	                                    354	                                  21	                                            21	
[bounce]-zh_Hans.po                   	             5	                 5	              3	                        3	         52	             52	          18	                    18	                              391	                                  391	                                79	                                          79	                                427	                                    427	                                  94	                                            94	
[caption]-zh_Hans.po                  	             9	                 9	              7	                        7	         44	             44	          10	                    10	                              383	                                  383	                                71	                                          71	                                407	                                    407	                                  74	                                            74	
[cd]-zh_Hans.po                       	             6	                 6	              4	                        4	         52	             52	          18	                    18	                              387	                                  387	                                75	                                          75	                                422	                                    422	                                  89	                                            89	
[cd_DLG_102]-zh_Hans.po               	            24	                24	             21	                       21	         92	             92	          57	                    57	                              613	                                  613	                               296	                                         296	                                669	                                    669	                                 331	                                           331	
[cd_DLG_103]-zh_Hans.po               	             7	                 7	              4	                        4	         45	             45	          10	                    10	                              375	                                  375	                                57	                                          57	                                402	                                    402	                                  63	                                            63	
[cd_DLG_155]-zh_Hans.po               	            11	                11	              9	                        9	         68	             68	          34	                    34	                              492	                                  492	                               180	                                         180	                                539	                                    539	                                 206	                                           206	
[cdburn]-zh_Hans.po                   	            24	                24	             21	                       21	        154	            154	         117	                   117	                              952	                                  952	                               625	                                         625	                               1072	                                   1072	                                 722	                                           722	
[common]-zh_Hans.po                   	          1436	              1436	           1288	                     1288	       4543	           4543	        3996	                  3996	                            24169	                                24169	                             21446	                                       21446	                              27160	                                  27160	                               24078	                                         24078	
[comp]-zh_Hans.po                     	             7	                 7	              4	                        4	         53	             53	          17	                    17	                              394	                                  394	                                76	                                          76	                                429	                                    429	                                  89	                                            89	
[configexport]-zh_Hans.po             	            61	                61	             54	                       54	        246	            246	         206	                   206	                             1463	                                 1463	                              1116	                                        1116	                               1637	                                   1637	                                1268	                                          1268	
[convert]-zh_Hans.po                  	            35	                35	             25	                       25	        147	            147	         103	                   103	                              911	                                  911	                               546	                                         546	                               1011	                                   1011	                                 623	                                           623	
[cpumeter]-zh_Hans.po                 	            25	                25	             18	                       18	         81	             81	          42	                    42	                              534	                                  534	                               198	                                         198	                                572	                                    572	                                 214	                                           214	
[customaction]-zh_Hans.po             	             6	                 6	              4	                        4	         44	             44	          10	                    10	                              368	                                  368	                                56	                                          56	                                395	                                    395	                                  62	                                            62	
[customizemenu]-zh_Hans.po            	            28	                28	             21	                       21	        125	            125	          80	                    80	                              790	                                  790	                               414	                                         414	                                874	                                    874	                                 471	                                           471	
[ddp]-zh_Hans.po                      	            31	                31	             27	                       27	        145	            145	         106	                   106	                              893	                                  893	                               556	                                         556	                                995	                                    995	                                 634	                                           634	
[ddp_help]-zh_Hans.po                 	            71	                71	             68	                       68	        549	            549	         515	                   515	                             2921	                                 2921	                              2606	                                        2606	                               3395	                                   3395	                                3059	                                          3059	
[dirclean]-zh_Hans.po                 	            12	                12	              9	                        9	         78	             78	          41	                    41	                              537	                                  537	                               202	                                         202	                                592	                                    592	                                 234	                                           234	
[DLG_102]-zh_Hans.po                  	             5	                 5	              5	                        5	         38	             38	          38	                    38	                              351	                                  351	                               351	                                         351	                                373	                                    373	                                 373	                                           373	
[DLG_103]-zh_Hans.po                  	            15	                15	              0	                        0	         55	             55	           0	                     0	                              425	                                  425	                                 0	                                           0	                                454	                                    454	                                   0	                                             0	
[DLG_104]-zh_Hans.po                  	            12	                12	              7	                        7	         69	             69	          27	                    27	                              520	                                  520	                               151	                                         151	                                566	                                    566	                                 171	                                           171	
